date,amount,phase,containment,zone,plume_group,region
2180-01-01,620648.0911477446,total,outside,all,all,all
2200-01-01,801026.2406513806,total,outside,all,all,all
2020-01-01,332.15043387964624,dissolved_water,outside,all,all,all
2040-01-01,717.7740275050154,dissolved_water,outside,all,all,all
2060-01-01,1407.096105065282,dissolved_water,outside,all,all,all
2080-01-01,2531.567413925795,dissolved_water,outside,all,all,all
2100-01-01,4220.112867116136,dissolved_water,outside,all,all,all
2120-01-01,6575.1408193965735,dissolved_water,outside,all,all,all
2140-01-01,9656.481582901386,dissolved_water,outside,all,all,all
2160-01-01,13479.817557629429,dissolved_water,outside,all,all,all
2180-01-01,18027.82063074824,dissolved_water,outside,all,all,all
2200-01-01,23267.22275143204,dissolved_water,outside,all,all,all
2020-01-01,11102.871967535351,gas,outside,all,all,all
2040-01-01,23993.20403085204,gas,outside,all,all,all
2060-01-01,47035.33792829057,gas,outside,all,all,all
2080-01-01,84623.30922074725,gas,outside,all,all,all
2100-01-01,141066.72180087198,gas,outside,all,all,all
2120-01-01,219788.80422817104,gas,outside,all,all,all
2140-01-01,322789.51865125704,gas,outside,all,all,all
2160-01-01,450593.08440441533,gas,outside,all,all,all
2180-01-01,602620.2705169963,gas,outside,all,all,all
2200-01-01,777759.0178999486,gas,outside,all,all,all
2020-01-01,200710.82886890598,total,total,toptherys,all,all
2040-01-01,230020.18261674634,total,total,toptherys,all,all
2060-01-01,261828.72899163188,total,total,toptherys,all,all
2080-01-01,296263.79113160283,total,total,toptherys,all,all
2100-01-01,333472.38099064404,total,total,toptherys,all,all
2120-01-01,373584.4372178818,total,total,toptherys,all,all
2140-01-01,416700.5677508984,total,total,toptherys,all,all
2160-01-01,462907.00392782624,total,total,toptherys,all,all
2180-01-01,512286.9274771511,total,total,toptherys,all,all
2200-01-01,564914.9174748719,total,total,toptherys,all,all
2020-01-01,8609.21099450995,dissolved_water,total,toptherys,all,all
2040-01-01,9866.394834315115,dissolved_water,total,toptherys,all,all
2060-01-01,11230.778055256855,dissolved_water,total,toptherys,all,all
2080-01-01,12707.822005714072,dissolved_water,total,toptherys,all,all
2100-01-01,14303.832558357926,dissolved_water,total,toptherys,all,all
2120-01-01,16024.383250266486,dissolved_water,total,toptherys,all,all
2140-01-01,17873.78951856514,dissolved_water,total,toptherys,all,all
2160-01-01,19855.75013620253,dissolved_water,total,toptherys,all,all
2180-01-01,21973.833067375992,dissolved_water,total,toptherys,all,all
2200-01-01,24231.237277505916,dissolved_water,total,toptherys,all,all
2020-01-01,192101.61787439603,gas,total,toptherys,all,all
2040-01-01,220153.78778243123,gas,total,toptherys,all,all
2060-01-01,250597.95093637504,gas,total,toptherys,all,all
2080-01-01,283555.9691258888,gas,total,toptherys,all,all
2100-01-01,319168.54843228613,gas,total,toptherys,all,all
2120-01-01,357560.0539676153,gas,total,toptherys,all,all
2140-01-01,398826.7782323333,gas,total,toptherys,all,all
2160-01-01,443051.2537916237,gas,total,toptherys,all,all
2180-01-01,490313.0944097751,gas,total,toptherys,all,all
2200-01-01,540683.6801973659,gas,total,toptherys,all,all
2020-01-01,200710.82886890598,total,contained,toptherys,all,all
2040-01-01,230020.18261674634,total,contained,toptherys,all,all
2060-01-01,261828.72899163188,total,contained,toptherys,all,all
2080-01-01,296263.79113160283,total,contained,toptherys,all,all
2100-01-01,333472.38099064404,total,contained,toptherys,all,all
2120-01-01,373584.4372178818,total,contained,toptherys,all,all
2140-01-01,416700.5677508984,total,contained,toptherys,all,all
2160-01-01,462907.00392782624,total,contained,toptherys,all,all
2180-01-01,512286.927477151,total,contained,toptherys,all,all
2200-01-01,564914.9174748712,total,contained,toptherys,all,all
2020-01-01,8609.21099450995,dissolved_water,contained,toptherys,all,all
2040-01-01,9866.394834315115,dissolved_water,contained,toptherys,all,all
2060-01-01,11230.778055256855,dissolved_water,contained,toptherys,all,all
2080-01-01,12707.822005714072,dissolved_water,contained,toptherys,all,all
2100-01-01,14303.832558357926,dissolved_water,contained,toptherys,all,all
2120-01-01,16024.383250266486,dissolved_water,contained,toptherys,all,all
2140-01-01,17873.78951856514,dissolved_water,contained,toptherys,all,all
2160-01-01,19855.75013620253,dissolved_water,contained,toptherys,all,all
2180-01-01,21973.83306737599,dissolved_water,contained,toptherys,all,all
2200-01-01,24231.237277505898,dissolved_water,contained,toptherys,all,all
2020-01-01,192101.61787439603,gas,contained,toptherys,all,all
2040-01-01,220153.78778243123,gas,contained,toptherys,all,all
2060-01-01,250597.95093637504,gas,contained,toptherys,all,all
2080-01-01,283555.9691258888,gas,contained,toptherys,all,all
2100-01-01,319168.54843228613,gas,contained,toptherys,all,all
2120-01-01,357560.0539676153,gas,contained,toptherys,all,all
2140-01-01,398826.7782323333,gas,contained,toptherys,all,all
2160-01-01,443051.2537916237,gas,contained,toptherys,all,all
2180-01-01,490313.094409775,gas,contained,toptherys,all,all
2200-01-01,540683.6801973652,gas,contained,toptherys,all,all
2020-01-01,0.0,total,hazardous,toptherys,all,all
2040-01-01,0.0,total,hazardous,toptherys,all,all
2060-01-01,0.0,total,hazardous,toptherys,all,all
2080-01-01,0.0,total,hazardous,toptherys,all,all
2100-01-01,0.0,total,hazardous,toptherys,all,all
2120-01-01,0.0,total,hazardous,toptherys,all,all
2140-01-01,0.0,total,hazardous,toptherys,all,all
2160-01-01,0.0,total,hazardous,toptherys,all,all
2180-01-01,0.0,total,hazardous,toptherys,all,all
2200-01-01,0.0,total,hazardous,toptherys,all,all
2020-01-01,0.0,dissolved_water,hazardous,toptherys,all,all
2040-01-01,0.0,dissolved_water,hazardous,toptherys,all,all
2060-01-01,0.0,dissolved_water,hazardous,toptherys,all,all
2080-01-01,0.0,dissolved_water,hazardous,toptherys,all,all
2100-01-01,0.0,dissolved_water,hazardous,toptherys,all,all
2120-01-01,0.0,dissolved_water,hazardous,toptherys,all,all
2140-01-01,0.0,dissolved_water,hazardous,toptherys,all,all
2160-01-01,0.0,dissolved_water,hazardous,toptherys,all,all
2180-01-01,0.0,dissolved_water,hazardous,toptherys,all,all
2200-01-01,0.0,dissolved_water,hazardous,toptherys,all,all
2020-01-01,0.0,gas,hazardous,toptherys,all,all
2040-01-01,0.0,gas,hazardous,toptherys,all,all
2060-01-01,0.0,gas,hazardous,toptherys,all,all
2080-01-01,0.0,gas,hazardous,toptherys,all,all
